word,female_effect_size,female_p_value
apple,0.4444566682912326,0.19024637322190796
art,-0.08871392893703835,0.5710117925742639
banana,0.5348797927892033,0.14726473132922802
beach,0.7909877106816016,0.055410394002339824
beer,-0.851902178925351,0.9554484541111791
book,-0.022317913612686736,0.5129937939722184
bread,-0.01823360552021704,0.5166316697255784
brother,-0.7143465224388587,0.9226817886005612
burger,-0.4642992269227169,0.8270093412018742
butter,0.4312371781465843,0.19132188061577238
cake,0.8646796560971299,0.04234018849985233
candy,0.7125878697121737,0.07959519536930915
car,-0.4500740048866985,0.8134560430500614
cat,0.443490119520464,0.1891275876166203
chocolate,0.9060173438413239,0.0340939712687901
city,-0.38610034934360205,0.7789133649829267
coconut,0.9127564790008408,0.03336058695426214
coffee,0.3133675553845797,0.27109155365971305
computer,-0.2849100566457664,0.7181823525808343
cookie,0.8035257397811214,0.05305747536397032
cry,0.07005865308082988,0.43755004389892427
daughter,0.5707727207714357,0.1239567867349991
dog,-0.168268591452341,0.6383788459881958
dream,0.11981390736496315,0.4142769686009853
drink,-0.13062171189612254,0.6057183472194454
eat,-0.0863007877227914,0.5691443878801319
enemy,-0.8694443424421929,0.9610438486253026
family,0.1023762517376315,0.4164428644851008
fly,-0.7189326516010283,0.923989204310426
food,0.4864527979693298,0.15854196283667787
friend,0.052384396911133314,0.4573268622943377
future,-0.6624661291064303,0.9041342744976272
grape,0.24721838459418088,0.3105292674719866
happy,-0.05778933649270798,0.5482546681961216
hate,-0.2686970768436342,0.7037637601831036
history,-0.6504645780458154,0.9024116783236339
house,-0.14033190997848505,0.6109976633154219
imagination,-0.16751882189482495,0.6347036314299493
juice,0.8009954259229439,0.05384088829503686
jump,-0.4903890437690279,0.8303017619759105
king,-1.4584078827966303,0.998222457717896
kiwi,0.15814018758658455,0.3788684980985223
laugh,-0.11032121256060902,0.5892525368612097
learn,-0.2703645181190937,0.7021243752293864
listen,-0.46667854318840546,0.8225213658613637
love,0.47219366977676674,0.17473801200328398
mango,0.5985525669288401,0.11831351706475735
milk,1.2494374112422473,0.006765944209732089
moon,0.3132753562654224,0.27649644339606316
mountain,-0.7843522283897172,0.9432807320999925
music,-0.45227049203672526,0.8163664804059615
orange,0.530438350788864,0.14905522268850868
past,-0.22397565889887566,0.6706490021516022
pasta,0.48463535343993724,0.16989350437179263
pear,0.973199373959081,0.026002819592074955
pineapple,0.4344266503374581,0.18981862362991775
pizza,-0.20776184801691247,0.6648549830360913
present,-0.2693584074062267,0.7087863953121385
queen,1.6907802776484853,0.0003123575519333732
read,0.07255790581566053,0.4456599805946103
reality,0.3009543966321311,0.27281300724906266
rice,0.2855943161927135,0.28073068100548393
river,-0.4110316491161306,0.7912450843460268
run,-0.5995803602308084,0.8840621362843384
sad,0.08218960837646196,0.427318596052367
science,-0.3937616747347939,0.788643602046263
sister,0.8662519551108196,0.039611622059741336
sky,-0.123245457971203,0.5933521862957343
sleep,0.2132151954263107,0.3416454571689648
soda,0.3707771918993266,0.2297641654315956
son,-0.6325821052790739,0.8952604155594497
speak,-0.20662339154693468,0.6521189791076842
star,0.0569062757574794,0.45549618168637207
stranger,0.09448388106054138,0.42671942534135254
strawberry,1.0653029636964348,0.018002589724951723
sun,0.11634487924596812,0.40870530738045463
sushi,0.3123611219614918,0.2727005905017411
swim,1.0049564802234254,0.022678098983305417
tea,0.9862599533139783,0.023578240956360408
teach,-0.33718875256612774,0.7525289739722323
tree,-0.3881537563081544,0.7803851669917268
vodka,0.37646025299362107,0.22605051346680693
walk,-0.1730113385874668,0.6425137561718663
water,-0.012963039252956764,0.5153411918645786
watermelon,0.7752274254291815,0.057833175165091566
whiskey,-0.8238636688402174,0.9498920432200074
wine,0.1779776939609967,0.35621286697249066
write,0.03272217435786423,0.4779837191762931
