word,female_effect_size,female_p_value
he,-0.8234710296989197,0.9499844964184455
his,-0.838121671464771,0.9543048405109046
her,0.9420216848630585,0.028492818592215308
she,0.8694903772207102,0.04083879610951635
him,-0.7882322230003707,0.9418033108438603
love,0.47219366977676674,0.1705083755313741
family,0.1023762517376315,0.41662577378165055
read,0.07255790581566053,0.44476375779797594
man,-0.9889145785714503,0.9762277118130959
book,-0.022317913612686736,0.5146603196874286
water,-0.012963039252956764,0.5090603908680764
music,-0.45227049203672526,0.8180989930266738
car,-0.4500740048866985,0.8163649650489215
food,0.4864527979693298,0.1647332528725618
house,-0.14033190997848505,0.6171090837347886
run,-0.5995803602308084,0.8832091861571137
city,-0.38610034934360205,0.7783039161178171
past,-0.22397565889887566,0.678720105078833
future,-0.6624661291064303,0.9093105865048192
history,-0.6504645780458154,0.9026748051390827
friend,0.052384396911133314,0.464902667326174
learn,-0.2703645181190937,0.7011802078417524
computer,-0.2849100566457664,0.7139503266917814
art,-0.08871392893703835,0.5745291309487852
present,-0.2693584074062267,0.7048973212942138
happy,-0.05778933649270798,0.5428124999452911
girl,0.9979677302408828,0.02417718854972628
Google,-0.8573574822177109,0.9544182191774143
woman,0.8787499859405763,0.04008445368373381
write,0.03272217435786423,0.4738055608063456
son,-0.6325821052790739,0.89365352402827
dog,-0.168268591452341,0.6314078770978759
Facebook,-0.008298334265962402,0.497766862693402
Apple,-0.6978773308874543,0.9212787753579121
walk,-0.1730113385874668,0.6307681261877345
eat,-0.0863007877227914,0.5712252998797346
Microsoft,-0.8468188246288817,0.9548034894009046
star,0.0569062757574794,0.45243701783575085
daughter,0.5707727207714357,0.12809448503503884
boy,-0.5222319086412313,0.8477363215769415
science,-0.3937616747347939,0.7849073240593409
speak,-0.20662339154693468,0.6579532923548866
beach,0.7909877106816016,0.05883433450592168
sleep,0.2132151954263107,0.33767631337589865
hate,-0.2686970768436342,0.7036174745290555
wine,0.1779776939609967,0.356506935451365
coffee,0.3133675553845797,0.2605088617556771
tree,-0.3881537563081544,0.782095007745162
reality,0.3009543966321311,0.2709038060239741
female,0.5394075513895674,0.1364128336049577
listen,-0.46667854318840546,0.8249405903208882
sun,0.11634487924596812,0.4026495129959041
brother,-0.7143465224388587,0.9224653764496568
dream,0.11981390736496315,0.41207097665070813
male,0.0796117612261166,0.4347862791241973
drink,-0.13062171189612254,0.5947037175941594
sister,0.8662519551108196,0.03881239616298182
Amazon,0.7322297704254596,0.07061485418546443
cat,0.443490119520464,0.1898188379419774
sad,0.08218960837646196,0.43337370218436466
tea,0.9862599533139783,0.024255812491413398
teach,-0.33718875256612774,0.7520217202518911
milk,1.2494374112422473,0.005939198510600763
fly,-0.7189326516010283,0.9252120813483926
chocolate,0.9060173438413239,0.034605792855475714
beer,-0.851902178925351,0.9546897690779603
river,-0.4110316491161306,0.7908900194694181
cake,0.8646796560971299,0.041877747196658155
jump,-0.4903890437690279,0.8338443946238395
mountain,-0.7843522283897172,0.9408578891594076
Samsung,-0.8909138286044063,0.961537960752538
king,-1.4584078827966303,0.9981646401429062
laugh,-0.11032121256060902,0.5788549061071349
bread,-0.01823360552021704,0.5156822180427398
sky,-0.123245457971203,0.5975790235259795
butter,0.4312371781465843,0.19758213470549424
orange,0.530438350788864,0.14781620606944446
rice,0.2855943161927135,0.2907552976448624
juice,0.8009954259229439,0.052462305834646616
enemy,-0.8694443424421929,0.9564699148760512
Intel,-0.9341771686409934,0.9702522786785588
cry,0.07005865308082988,0.4429511491160746
apple,0.4444566682912326,0.18200368566849212
IBM,-1.0792959473157784,0.9843410588479067
moon,0.3132753562654224,0.2662147999802811
pizza,-0.20776184801691247,0.6576116230430105
candy,0.7125878697121737,0.07444003933189736
imagination,-0.16751882189482495,0.6293489457136778
cookie,0.8035257397811214,0.05667227043291301
swim,1.0049564802234254,0.021163766927076222
queen,1.6907802776484853,0.0003894554728176569
pasta,0.48463535343993724,0.1698070474543042
soda,0.3707771918993266,0.22902630245568056
coconut,0.9127564790008408,0.03260805732897276
stranger,0.09448388106054138,0.42827250601762235
banana,0.5348797927892033,0.14122697723747457
hers,1.0423604969358178,0.01856823173950961
burger,-0.4642992269227169,0.8224639492505752
strawberry,1.0653029636964348,0.01607689342691676
sushi,0.3123611219614918,0.26449400589155503
NVIDIA,-1.1908699254507291,0.9921857305883217
grape,0.24721838459418088,0.31012373585629727
pineapple,0.4344266503374581,0.19027293660827005
vodka,0.37646025299362107,0.22563748785133075
AMAZON,0.28607979854450927,0.2849146694526762
mango,0.5985525669288401,0.11396211514704091
whiskey,-0.8238636688402174,0.9515297121770847
pear,0.973199373959081,0.026048503816526125
Nvidia,-0.9270749922181363,0.9701643290311576
APPLE,0.21231579176993517,0.3329427682999564
watermelon,0.7752274254291815,0.05896672945561687
SAMSUNG,-0.26218144309770003,0.7003888068749173
FACEBOOK,-0.11168488361014445,0.589546038188982
Huawei,-0.4576024031942567,0.8153363777629835
kiwi,0.15814018758658455,0.37587015118626
