word,female_effect_size,female_p_value
he,-0.37428505507932847,0.7681668085702347
his,-0.6799602065324566,0.9144390106232267
her,0.6990266754235158,0.08013025024546871
she,0.6184978863477557,0.10929022767358854
him,-0.8015649845756451,0.94585075667164
love,1.0420287188538964,0.01868197223251733
family,1.0714578045396186,0.016248173286511847
read,0.8881752718352961,0.03854610510204837
man,-0.7456479865658522,0.9312441080136378
book,0.2890259863604961,0.28335036560643045
water,0.42460798157030855,0.19818787416631778
music,0.4624040996024468,0.1820115091019716
car,-0.24803819014599113,0.6923961792538578
food,0.6726892796073484,0.09149331159851037
house,-0.004826550093424894,0.5067854647026983
run,-0.8059497017877747,0.9453356535194986
city,-0.4317170404145289,0.802961596351024
past,1.122766181051333,0.012459356097566987
future,1.0467499730375762,0.01768210537627246
history,-0.16034993674894854,0.6249219354724089
friend,0.8703342407445703,0.03908562648428926
learn,1.0553173858415197,0.018194031156330448
computer,-0.17494346641798778,0.6348579698910599
art,-0.10265890447305587,0.5903681119215809
present,1.1216105081729026,0.01228476422364233
happy,-0.035796545332932785,0.5331384556342527
girl,0.8222833988777996,0.049032482157333024
Google,-0.21720555792066465,0.6683542607986128
woman,0.7126452374476253,0.07718816328423017
write,0.6635407777775253,0.0934225187964911
son,-0.7537231072821128,0.9349162175513002
dog,-0.28686745057659707,0.7165167932340577
Facebook,0.21104849939431933,0.335154314654592
Apple,0.8377204539496429,0.047151867837928574
walk,0.941060801388317,0.029785636796205717
eat,0.8131907164886111,0.05098585530616251
Microsoft,-0.02522660059340931,0.509750825387379
star,-0.10618814081528687,0.5846899738370188
daughter,0.8275075442898342,0.04815423012244502
boy,-0.5593279572475754,0.8702154384903376
science,-0.2986297901098181,0.7242752631299855
speak,0.8708475553067199,0.03719273638168841
beach,0.5315085974488314,0.14276590119903143
sleep,0.22261864374757379,0.3236610156819202
hate,0.2573575457304762,0.30037873042535457
wine,1.2406037308556166,0.006909811627248796
coffee,-0.6900007784842423,0.9165443040227284
tree,0.6815516940322833,0.08666474210559283
reality,0.3407207503701803,0.24540667724397436
female,0.7066873263809087,0.0815581707714097
listen,0.9696239072582741,0.027002606865749956
sun,-0.683293466828318,0.9145711639256289
brother,-0.30581388398371756,0.7325524435606117
dream,1.1039949730231335,0.0132420034196441
male,-0.22697392244452413,0.6739669528073237
drink,0.8576007855951918,0.04558758984323208
sister,0.7129209906775894,0.07899035049419478
Amazon,0.013588715072619051,0.4908637308135404
cat,0.03350917162426587,0.46861630569256896
sad,-0.8185545232552796,0.9488062061941281
tea,1.2363354642582074,0.006528964307163765
teach,1.4658735746165534,0.0016912965973604477
milk,1.4739437467344707,0.001456832107291417
fly,0.3727573120319171,0.226479911171239
chocolate,0.3492854209430969,0.2444263011818717
beer,0.2478173994248904,0.3129359807008669
river,0.9882631937702199,0.024151155575064087
cake,0.6291978419216755,0.10537729601300572
jump,0.1894199905236732,0.35471465694006865
mountain,-0.041567970172969065,0.5289639282064148
Samsung,0.36297908342261476,0.23875360658942246
king,-1.1472127774495156,0.9885898289892807
laugh,0.54948285153937,0.13950729124937955
bread,0.5161136241681652,0.15518954720320188
sky,-0.45572944085119976,0.8156753691662225
butter,0.8312061679761075,0.047781643922874206
orange,-0.3454972925095537,0.7524994615315075
rice,0.9974397518925854,0.021473234493557314
juice,0.5046361963031419,0.159668182141671
enemy,0.14575042613659905,0.3846324654928689
Intel,-0.17254719160456408,0.6376267285006915
cry,0.620042200978573,0.10309925766490036
apple,0.7479484042100023,0.06843553304772443
IBM,-0.46089689023231595,0.8200545176261627
moon,0.15147271002255439,0.3766842995662192
pizza,0.10829254375345883,0.4124164048216228
candy,1.0028095464511542,0.02193938673636242
imagination,0.46496896345650457,0.17188599313165465
cookie,-0.07121980545189863,0.5531537880479632
swim,0.9443544169910614,0.029782841607636112
queen,1.4441175902747705,0.001898689103747131
pasta,0.7746285257429135,0.060904575214569934
soda,0.643986775408096,0.0986232657432986
coconut,0.1428892902516371,0.38414555171992604
stranger,0.6348767080434062,0.10003152468483656
banana,-0.9025939175499308,0.9656344649164731
hers,0.8071143675276806,0.05235948390323186
burger,-0.2522696070610953,0.697380832258887
strawberry,1.5613155967257488,0.0009384789198838561
sushi,0.21463602251195293,0.3324299064062667
NVIDIA,0.7557852972415816,0.06379117382506494
grape,1.2199672563793464,0.007170718745822091
pineapple,0.8691136041648667,0.03995636320140672
vodka,1.0700996786241819,0.016692865569553406
AMAZON,-0.768498496241787,0.9356850418239403
mango,-0.4075557573980646,0.7895444557360286
whiskey,0.09202951890727426,0.43412842754591885
pear,0.9709014939163159,0.0261169149515198
Nvidia,0.7964320915949132,0.05401692866047092
APPLE,0.5109229942660979,0.15306890022510578
watermelon,1.154371076219782,0.010153333927358621
SAMSUNG,-0.066027180321537,0.5556969033120784
FACEBOOK,0.9439813857308735,0.03233050250843428
Huawei,0.3422005531855181,0.2447109240754155
kiwi,1.0222757869377939,0.0191254727911756
