x	y	cluster	word
-39.059322357177734	10.183690071105957	2	his
-4.072325706481934	-2.7628238201141357	4	sister
35.1148681640625	23.690149307250977	6	french
32.71293258666992	23.361858367919922	6	american
36.016395568847656	23.09583854675293	6	chinese
36.82081604003906	23.740976333618164	6	japanese
35.861045837402344	23.626344680786133	6	german
36.74491500854492	24.019765853881836	6	italian
35.62391662597656	24.042165756225586	6	british
34.8077278137207	23.919689178466797	6	european
37.087432861328125	23.292705535888672	6	canadian
37.302066802978516	23.561168670654297	6	australian
-49.363525390625	12.500412940979004	3	The
-55.62717056274414	4.277215480804443	2	new
-51.06829071044922	-0.10336152464151382	0	use
-58.36224365234375	2.602576732635498	2	first
-56.44477844238281	1.8162819147109985	8	good
-35.466796875	-5.456671237945557	1	made
-54.02873611450195	2.3518691062927246	8	great
-49.86228942871094	6.063270568847656	2	two
-58.58949661254883	0.1461252123117447	8	really
-39.017845153808594	-4.270284175872803	1	used
-49.37919616699219	3.183568239212036	8	right
-50.27012252807617	5.544764995574951	2	many
-47.197784423828125	6.6866888999938965	7	home
-46.13044738769531	-0.25916096568107605	2	using
-59.155540466308594	1.8135122060775757	2	another
-53.23193359375	3.7359023094177246	8	since
-46.11567687988281	-0.8630390167236328	2	set
-52.8747444152832	3.9903557300567627	8	today
-42.61891174316406	4.047846794128418	8	better
-56.73911666870117	2.299351215362549	8	little
-55.734676361083984	1.3427613973617554	8	well
-49.015464782714844	1.9773402214050293	8	much
-31.451486587524414	-4.95259952545166	1	available
-59.16339111328125	-0.07086916267871857	8	actually
-54.16156005859375	3.877288341522217	2	last
-39.30851745605469	3.186479330062866	8	making
-57.48826217651367	2.3646793365478516	2	part
-18.36929702758789	-6.007599353790283	0	play
-24.2219295501709	7.429503917694092	10	experience
-0.543731689453125	24.20817756652832	3	With
-60.15693283081055	0.669320285320282	8	though
-41.76384735107422	11.281371116638184	4	company
-22.148080825805664	4.297048568725586	4	name
-38.72438049316406	-4.3505754470825195	1	called
-25.006305694580078	8.216146469116211	10	team
-49.31474304199219	3.8219516277313232	0	end
-51.14198684692383	1.4667834043502808	8	point
-49.59611129760742	3.9904346466064453	2	next
-1.398144006729126	0.46805310249328613	4	data
-43.79973220825195	2.0018656253814697	8	getting
-37.77878189086914	9.872260093688965	2	small
-35.388858795166016	5.179835796356201	8	long
-56.232887268066406	3.404413938522339	2	second
-46.54502487182617	3.974777936935425	8	yet
-22.315275192260742	-6.3197808265686035	0	live
-26.0283145904541	0.4539741277694702	8	fun
-55.807743072509766	-0.29566845297813416	8	already
-59.26523971557617	1.1827993392944336	8	either
-38.802982330322266	6.0028204917907715	0	order
