x	y	cluster	word
-21.69190216064453	27.7012996673584	9	her
-21.939172744750977	27.721595764160156	1	she
-18.83346939086914	25.899824142456055	6	hers
-20.565053939819336	24.18251609802246	4	site
-26.46195411682129	-10.740606307983398	1	She
-20.353425979614258	28.025026321411133	7	beautiful
-20.570344924926758	23.97951889038086	4	website
-20.310144424438477	26.32451820373535	7	design
-19.823596954345703	24.078044891357422	9	online
-20.827970504760742	24.05701446533203	4	blog
-17.99448585510254	23.701702117919922	9	event
-20.564882278442383	25.660608291625977	8	features
-18.013315200805664	24.170499801635742	8	model
-11.653103828430176	18.00493049621582	9	events
-14.331075668334961	24.656658172607422	6	color
-20.380970001220703	27.124013900756836	7	pretty
-15.020320892333984	23.433170318603516	9	items
-16.86200714111328	23.595014572143555	8	choose
-19.887943267822266	27.75727653503418	7	lovely
-10.01612663269043	16.70619773864746	9	phone
-13.725973129272461	21.132158279418945	9	travel
-4.094913482666016	-31.47445297241211	3	China
-20.212003707885742	25.206653594970703	8	feature
-4.622705459594727	-31.267269134521484	3	California
-4.084322929382324	-31.7028751373291	3	Canada
4.364724636077881	27.398906707763672	6	wear
-10.241390228271484	19.520915985107422	9	sale
2.209723949432373	13.351383209228516	9	voice
-13.418011665344238	13.755882263183594	4	sites
-4.58137845993042	-10.910202026367188	2	Each
-14.627036094665527	-15.951563835144043	1	Her
-11.028280258178711	11.533390045166016	4	Facebook
-9.308250427246094	22.323511123657227	7	French
-12.563654899597168	19.402503967285156	8	models
-5.227241039276123	30.436262130737305	0	pattern
4.768223285675049	18.2999267578125	5	recipe
-10.763468742370605	17.807212829589844	9	customer
-16.46409034729004	25.564403533935547	7	beauty
-10.183182716369629	15.63795280456543	9	client
-2.3788771629333496	14.109249114990234	9	classes
-11.08542251586914	19.73899269104004	9	rooms
4.522583961486816	15.426015853881836	9	tips
-10.84687328338623	20.576019287109375	9	novel
-1.5451629161834717	12.24931526184082	9	library
-13.417362213134766	25.35824966430664	6	dress
-10.169744491577148	14.767754554748535	9	readers
-11.327159881591797	17.9921875	9	experiences
8.116196632385254	-14.476027488708496	2	Find
-18.128019332885742	25.512269973754883	7	fashion
-2.8159983158111572	10.65522575378418	9	conference
-7.954500675201416	19.727205276489258	9	shopping
1.5738579034805298	20.195091247558594	5	plants
-4.6682586669921875	30.624536514282227	0	fabric
-1.728257656097412	-11.421981811523438	2	Health
0.4120805263519287	26.731487274169922	6	flowers
-4.252230167388916	11.327445983886719	9	database
-18.422365188598633	27.537246704101562	7	gorgeous
-6.109318733215332	20.51021385192871	5	cooking
-3.304232358932495	13.08426284790039	9	standards
-15.152905464172363	21.71208953857422	8	determined
-11.4271821975708	19.111495971679688	8	sample
7.608034133911133	11.66773796081543	9	residents
-9.976317405700684	18.366539001464844	9	stores
-2.9879543781280518	18.078075408935547	9	homes
-3.183279037475586	12.032033920288086	9	rates
-1.5383998155593872	25.9393367767334	6	dance
-15.57447624206543	24.808469772338867	7	designs
3.63399600982666	20.16250991821289	5	tea
-5.504364967346191	-16.66769790649414	2	Women
-30.270322799682617	-13.711709976196289	10	Mary
-11.720490455627441	19.47348976135254	8	choices
-12.623369216918945	13.182567596435547	4	blogs
19.402542114257812	9.146632194519043	9	cancer
-10.612340927124023	15.723360061645508	9	authors
-13.364511489868164	-10.80582332611084	2	Design
-16.821741104125977	23.23959732055664	8	featured
-13.418639183044434	13.607257843017578	4	websites
-12.668554306030273	18.640464782714844	8	independent
-5.157222270965576	30.40932273864746	0	patterns
-17.167274475097656	26.2479248046875	7	delicious
-11.198033332824707	16.10919189453125	9	agency
13.647562980651855	-12.337810516357422	9	Amazon
0.5543017983436584	-34.28989028930664	3	Mexico
0.8677558898925781	10.45901107788086	8	settings
-8.494161605834961	-10.530011177062988	2	Online
13.839436531066895	18.81768226623535	5	recipes
-1.2993687391281128	11.647456169128418	9	magazine
-7.750598907470703	-9.173312187194824	2	Food
-12.642379760742188	18.037656784057617	8	locations
-2.1811015605926514	-12.70966911315918	2	Series
10.600482940673828	-36.509273529052734	3	Iran
-20.153528213500977	27.683839797973633	7	fabulous
1.5266355276107788	6.74151086807251	8	launched
3.8175437450408936	-35.26592254638672	3	Ireland
-3.8869612216949463	-29.461984634399414	3	Virginia
-0.9028835296630859	13.406634330749512	9	processing
-20.098073959350586	-14.408297538757324	1	Mom
33.744049072265625	-7.213767051696777	9	privacy
29.343509674072266	5.913292407989502	5	eggs
8.335721015930176	9.047966003417969	9	dates
-16.249624252319336	26.76751708984375	7	stunning
0.5071811079978943	8.659317970275879	8	default
-13.395491600036621	-12.872161865234375	2	Summer
-16.59214210510254	25.050750732421875	7	inspired
5.6343512535095215	18.456642150878906	5	cleaning
2.3407700061798096	-33.00799560546875	3	Georgia
-14.212641716003418	25.336292266845703	6	pink
-1.8932937383651733	14.535890579223633	9	samples
7.389470100402832	8.797614097595215	9	assets
-41.857662200927734	-0.5814676284790039	10	Sarah
-19.16524887084961	26.302873611450195	6	lady
5.282742977142334	-13.26901626586914	2	Library
-0.7506607174873352	26.09658432006836	6	bags
-4.441437244415283	26.87505340576172	6	accessories
3.4273386001586914	-34.267696380615234	3	Arizona
-18.571401596069336	20.841476440429688	7	Beautiful
3.6272127628326416	-35.5799674987793	3	Scotland
-7.300251483917236	10.15429401397705	4	blogging
-10.013239860534668	24.78984260559082	7	designer
-10.512066841125488	18.52446174621582	9	sections
0.10411418229341507	15.05554485321045	8	sizes
-1.2843164205551147	10.948012351989746	9	hosting
3.9847002029418945	10.547335624694824	8	flexible
-1.842997670173645	16.521404266357422	6	mirror
18.561738967895508	-13.532618522644043	2	Create
