x	y	cluster	word
-49.958255767822266	13.901031494140625	3	african
-40.66280746459961	16.1103515625	3	african-american
-49.85025405883789	13.647175788879395	3	African
39.841487884521484	-2.2882964611053467	8	foreclosure
12.429500579833984	-15.774426460266113	10	essence
44.72512435913086	-14.29312515258789	8	slave
-14.239405632019043	19.548931121826172	2	Joel
-20.709545135498047	-21.84225845336914	10	ebony
-12.874601364135742	19.53377914428711	2	Frederick
12.613761901855469	-13.151403427124023	1	unity
-30.97947120666504	-17.333171844482422	2	Isaac
-27.741392135620117	-17.083860397338867	2	Coleman
-15.707633972167969	-23.0123291015625	10	blacks
39.841487884521484	-2.2882964611053467	8	Foreclosure
-29.13001823425293	-17.076566696166992	2	Freeman
41.12274932861328	-13.361196517944336	8	escaped
39.5029182434082	-0.9713190793991089	8	foreclosures
-44.51323699951172	6.560088634490967	3	Savannah
-48.94040298461914	13.67874526977539	3	Sudan
-20.709545135498047	-21.84225845336914	10	Ebony
-45.816715240478516	14.199389457702637	3	Cairo
37.28376007080078	-11.42575454711914	8	risen
12.612500190734863	-13.148751258850098	1	Unity
-50.090152740478516	12.499493598937988	3	Ghana
-14.954681396484375	8.264267921447754	2	Ernest
-29.96306610107422	6.355340957641602	0	Bowie
-50.878875732421875	11.76926040649414	3	Guinea
42.78717041015625	-7.300365447998047	8	freed
-45.018550872802734	6.208560466766357	3	Harlem
-30.070749282836914	-10.203680992126465	2	Erica
-21.546974182128906	-10.514522552490234	5	Fulton
44.73723602294922	-14.25609016418457	8	Slave
9.90420913696289	-19.11402130126953	10	piston
-28.98501968383789	-10.662293434143066	2	Gabrielle
-28.080581665039062	-9.460041046142578	2	Julius
-11.614363670349121	-18.235151290893555	10	Jubilee
-28.683229446411133	-4.208821773529053	0	Zimmerman
-45.74395751953125	15.1632080078125	3	Johannesburg
-30.406757354736328	-15.21613883972168	2	Elijah
27.230188369750977	-20.584081649780273	7	Locksmith
-31.78310203552246	4.009396553039551	9	Dre
-49.529083251953125	9.015141487121582	3	Africans
-15.634804725646973	-22.04157066345215	10	Negro
-47.72574996948242	15.266493797302246	3	Rwanda
38.052467346191406	-4.6790852546691895	8	homicide
12.367717742919922	-15.783841133117676	10	Essence
26.315773010253906	-21.940460205078125	7	electrician
32.51691436767578	-8.940052032470703	1	rejoice
5.7963080406188965	27.240514755249023	5	Fayetteville
26.72112274169922	-20.346593856811523	7	locksmith
29.27910804748535	-3.6845543384552	1	stride
42.35552978515625	-4.012938022613525	8	foreclosed
19.562129974365234	-1.161182165145874	10	adipex
29.394954681396484	-8.81775951385498	1	ViolationRe
38.422489166259766	-13.878240585327148	8	redeemed
40.59191131591797	-11.67410945892334	8	unrest
-29.65443229675293	-11.73444652557373	2	Emmanuel
-31.190662384033203	4.920165061950684	9	Minaj
40.01517868041992	-3.245903968811035	8	burglary
-28.124887466430664	-8.026461601257324	2	Desmond
22.788747787475586	-10.434536933898926	1	Dreamweaver
-29.119991302490234	-9.221366882324219	2	Miriam
-29.397905349731445	-18.130504608154297	2	Emanuel
-28.338497161865234	-14.801262855529785	2	Dominique
-7.087492942810059	-19.1197509765625	10	Onyx
37.09651184082031	-8.699000358581543	8	inauguration
-10.032137870788574	-12.762929916381836	2	Rowe
30.493549346923828	-4.556156158447266	1	strides
-28.065584182739258	-13.255531311035156	2	Gabe
-26.162805557250977	-15.443010330200195	0	Morales
-3.7535886764526367	26.776857376098633	5	Potomac
7.164050579071045	-10.009157180786133	1	prosper
4.948182582855225	24.028844833374023	5	Rockville
13.764683723449707	-12.29781436920166	1	cornerstone
-17.481245040893555	22.372129440307617	0	Honeywell
-43.02980422973633	16.486862182617188	3	Darfur
-16.322486877441406	-18.192176818847656	10	Carver
-32.55408477783203	-14.376635551452637	2	Nelly
-29.818992614746094	-16.243680953979492	2	Daryl
-4.664920806884766	-16.703651428222656	10	Beanie
-15.612168312072754	16.434335708618164	2	Dwayne
-27.51374626159668	-14.755744934082031	2	Kruger
-50.26442337036133	11.621426582336426	3	guinea
-27.400148391723633	-12.433820724487305	2	Tyrone
-4.06133508682251	27.83127784729004	5	Shreveport
-48.79985809326172	12.748645782470703	3	Liberia
-48.127418518066406	14.44494342803955	3	Cameroon
42.37178039550781	-2.351386070251465	8	liberated
-48.62696838378906	14.846646308898926	3	Senegal
-27.760984420776367	-15.920148849487305	2	Roberta
-11.942750930786133	7.308172702789307	2	Candice
-2.1231801509857178	22.285253524780273	5	Terrell
37.72087860107422	-6.0950727462768555	8	outspoken
25.35057258605957	-0.7175098657608032	10	rheumatoid
-50.7479133605957	10.8685302734375	3	Niger
-30.16537094116211	7.892892837524414	0	Mandela
-7.575096607208252	16.095930099487305	2	Dianne
26.806838989257812	-22.246089935302734	7	Electrician
-23.517356872558594	15.875151634216309	9	Django
-22.68190574645996	22.466659545898438	0	Mugabe
-11.109016418457031	0.7079024910926819	5	Fayette
-18.61382293701172	2.1368672847747803	2	Terrence
-14.57011604309082	-19.233936309814453	10	spade
-10.033193588256836	4.9819440841674805	5	Winslow
-11.15481185913086	-18.967514038085938	2	Lazarus
-28.39097785949707	-18.42347526550293	2	Waldo
-25.10010528564453	-13.794729232788086	2	Godfrey
9.420212745666504	3.8639473915100098	9	BLM
-5.4280219078063965	27.159116744995117	5	Binghamton
30.688383102416992	6.798083305358887	10	Zumba
-31.333152770996094	3.630918025970459	9	dre
-16.5439453125	-5.3659868240356445	0	Granger
-30.349864959716797	-13.77295207977295	2	Landon
-10.702798843383789	12.15450382232666	2	Jodie
3.6028621196746826	-29.888408660888672	6	molasses
