x	y	cluster	word
-38.80401611328125	-19.775449752807617	3	african
-35.81019973754883	-16.063222885131836	3	ethiopian
-33.41694641113281	-22.19066619873047	3	haitian
-35.62370300292969	-17.035076141357422	3	kenyan
-14.391945838928223	-21.487857818603516	7	african-american
-38.80401611328125	-19.775449752807617	3	African
-30.96849822998047	-21.186161041259766	3	Java
-32.659202575683594	-9.439088821411133	3	Orlando
-16.56774139404297	9.063352584838867	4	essence
-8.951539039611816	-32.26211929321289	9	slave
-16.51926040649414	15.500686645507812	3	Sierra
-37.85499572753906	-17.836406707763672	3	Kenya
-31.744009017944336	-1.9037230014801025	8	Kingston
-18.025009155273438	-27.91109275817871	7	ebony
-31.766429901123047	-18.450910568237305	3	Haiti
-34.515445709228516	-18.713327407836914	3	Safari
-1.9205760955810547	-3.877528667449951	7	owe
-27.51616859436035	11.953439712524414	1	Isaac
-7.833194732666016	-32.99204635620117	9	slaves
-30.96849822998047	-21.186161041259766	3	java
-6.925393104553223	-32.89702606201172	9	slavery
-14.47828483581543	-29.017471313476562	7	blacks
-27.807132720947266	6.838921070098877	8	Jacobs
-27.264965057373047	-24.083152770996094	5	jungle
-33.72616958618164	-9.29916000366211	3	Savannah
-32.91170883178711	-3.030130386352539	10	Newark
-14.959244728088379	-22.454833984375	7	Rihanna
-27.26494026184082	-24.083171844482422	5	Jungle
-36.53618240356445	-15.835853576660156	3	Sudan
-29.78639793395996	1.4575399160385132	8	Ivory
-18.025014877319336	-27.91110610961914	7	Ebony
18.417612075805664	-28.389894485473633	9	delegates
-38.1090202331543	-14.950849533081055	3	Cairo
3.351959705352783	-26.096160888671875	9	Highlands
-34.379356384277344	-17.23402976989746	3	Ghana
-34.88957214355469	-15.071137428283691	3	Morocco
-24.118610382080078	-0.4458090662956238	8	Dominican
-22.735591888427734	-1.9547953605651855	8	muscular
-23.688156127929688	5.458364486694336	8	Liu
-34.2203254699707	-20.531965255737305	3	cocoa
-13.3917236328125	4.886964321136475	4	Sands
-27.758136749267578	10.669193267822266	1	Jeremiah
-30.067859649658203	5.6295013427734375	8	Nile
-26.845766067504883	14.051660537719727	1	Ahmed
-35.341697692871094	-19.71101951599121	3	Guinea
-34.48906707763672	-18.696125030517578	3	safari
-30.023839950561523	-3.734781265258789	7	Harlem
-27.937532424926758	4.781459331512451	8	Rudy
-30.9259090423584	-13.512429237365723	3	Tanzania
-33.6243782043457	-13.952113151550293	3	Somalia
15.983057975769043	-18.531906127929688	8	upstream
-20.700103759765625	0.5015727281570435	8	Fulton
13.208222389221191	-18.562252044677734	8	unsigned
-26.965944290161133	-7.889901161193848	1	pyramid
-29.712846755981445	1.5604939460754395	8	ivory
-8.895479202270508	-32.26336669921875	9	Slave
-21.587749481201172	-2.1062328815460205	8	piston
-27.137367248535156	5.486553192138672	8	Julius
-31.37883758544922	3.907075881958008	0	Jubilee
-14.39439868927002	-28.91619110107422	7	Blacks
3.061736583709717	-32.602195739746094	9	Plantation
-34.2203254699707	-20.531965255737305	3	Cocoa
-31.221384048461914	-8.438716888427734	3	Trinidad
-19.319610595703125	-0.2233162820339203	8	Stockton
-26.96600914001465	-7.889947414398193	1	Pyramid
-21.705650329589844	-14.1311674118042	3	Johannesburg
-28.12145233154297	12.739263534545898	1	Elijah
7.96171760559082	-29.44797706604004	9	deprived
-25.838804244995117	4.711593151092529	8	Dominic
-24.523359298706055	15.48318099975586	1	Abdul
2.755230665206909	-17.114200592041016	7	Hooded
-18.527490615844727	-26.743806838989258	7	Dre
2.9630699157714844	-16.147966384887695	8	rampant
-13.765130996704102	-25.860637664794922	7	dread
-0.9084211587905884	12.99526309967041	1	Jonah
-29.18058967590332	-16.148771286010742	3	Africans
-14.769319534301758	-27.242443084716797	7	Negro
-14.550302505493164	8.68111801147461	7	shady
-13.388120651245117	4.881647109985352	4	sands
-18.971935272216797	21.20502471923828	4	Lama
-33.380462646484375	-17.246694564819336	3	Rwanda
-3.5064713954925537	-22.273244857788086	7	dreaded
3.061736583709717	-32.602195739746094	9	plantation
-16.567672729492188	9.059225082397461	4	Essence
-4.119878768920898	29.042261123657227	4	Acai
-22.890029907226562	4.280456066131592	8	Dion
14.57240104675293	22.451265335083008	6	Juli
-17.287904739379883	21.056289672851562	4	Baba
-24.998363494873047	11.77212142944336	1	Medina
36.17796325683594	12.235939025878906	10	Midtown
-4.990591526031494	-12.673233985900879	5	stride
-36.48451614379883	-19.114044189453125	3	Mali
-5.106788158416748	-24.856393814086914	7	thugs
1.5239274501800537	20.02446746826172	4	Jodi
-15.865657806396484	-26.68326187133789	7	Voodoo
15.151376724243164	-28.597209930419922	9	poorest
-26.541492462158203	14.869963645935059	1	Mohamed
8.333168029785156	-30.3076171875	9	empowerment
-36.192848205566406	-18.34609031677246	3	Sahara
-26.7434024810791	11.302783012390137	1	Jericho
-24.271032333374023	-23.171520233154297	5	donkey
-4.1719207763671875	28.978267669677734	4	acai
-35.81019973754883	-16.063222885131836	3	Ethiopian
19.68929100036621	-27.698007583618164	9	adherence
17.628305435180664	-29.23731231689453	9	deputies
3.2617406845092773	-30.376012802124023	9	unrest
-28.699323654174805	13.068257331848145	1	Emmanuel
-9.238496780395508	9.357577323913574	7	Minaj
-25.933950424194336	5.989439964294434	8	Cassidy
-30.676660537719727	-6.740044116973877	4	Mahogany
-15.016096115112305	-23.729679107666016	7	reggae
-31.722631454467773	-12.236011505126953	3	Nairobi
-10.308219909667969	1.2692900896072388	0	Elgin
-35.638118743896484	-13.149277687072754	3	Moroccan
-23.15933609008789	0.5974217653274536	8	Glover
-26.931474685668945	5.6154608726501465	8	Desmond
-32.54218292236328	-9.194931983947754	3	orlando
-22.27754783630371	-3.0215277671813965	8	Pistons
-30.550296783447266	-12.492350578308105	3	Zambia
26.202621459960938	-21.22880744934082	0	Dreamweaver
12.977416038513184	-7.727657318115234	1	Bernardino
-24.36598014831543	-23.185747146606445	5	Donkey
-7.853167533874512	22.756465911865234	4	Miriam
-29.237407684326172	12.711750984191895	1	Emanuel
-14.9495849609375	-0.8218669295310974	8	Houghton
-15.016165733337402	-23.72962188720703	7	Reggae
-30.6765079498291	-6.739919185638428	4	mahogany
-33.399513244628906	-22.182952880859375	3	Haitian
7.677891731262207	-4.969287872314453	7	Onyx
-1.0316885709762573	-14.248490333557129	5	strides
-5.348535537719727	-14.30734634399414	5	robes
-25.379802703857422	1.5687193870544434	8	Jarvis
-21.033798217773438	20.767900466918945	4	mana
-23.950475692749023	2.9200987815856934	8	Seneca
11.04117202758789	-29.16339683532715	9	resentment
-30.516027450561523	-11.592357635498047	3	Angola
1.741961121559143	10.112298965454102	1	Mubarak
-21.305221557617188	5.966318607330322	8	Gupta
-36.360172271728516	-14.289189338684082	3	Somali
-19.405414581298828	2.490572214126587	8	Kayla
-18.852645874023438	-0.5269899368286133	8	Ulster
-25.503311157226562	-21.05140495300293	5	Morales
10.223712921142578	-6.246192455291748	8	Galloway
29.410627365112305	-12.269354820251465	6	ultram
36.66331100463867	11.367417335510254	10	Potomac
