,big_tech_es
"he,-0.37428505507932847,0.7722928477304167",
"his,-0.6799602065324566,0.9100299332628086",
"her,0.6990266754235158,0.08045776545352712",
"she,0.6184978863477557,0.11033004149688308",
"him,-0.8015649845756451,0.9464151008679623",
"love,1.0420287188538964,0.01907307978470496",
"family,1.0714578045396186,0.017394088336501246",
"read,0.8881752718352961,0.039453632074642364",
"man,-0.7456479865658522,0.9315075553526082",
"book,0.2890259863604961,0.2839108020321529",
"water,0.42460798157030855,0.19727335358067988",
"music,0.4624040996024468,0.18062414890364464",
"car,-0.24803819014599113,0.6873848379431582",
"food,0.6726892796073484,0.08744653234769195",
"house,-0.004826550093424894,0.5032082982298189",
"run,-0.8059497017877747,0.9452669940353187",
"city,-0.4317170404145289,0.803728521186213",
"past,1.122766181051333,0.012882909574504109",
"future,1.0467499730375762,0.017333631453692377",
"history,-0.16034993674894854,0.6264432407185758",
"friend,0.8703342407445703,0.039823631647996294",
"learn,1.0553173858415197,0.01762488231362891",
"computer,-0.17494346641798778,0.6401663311250446",
"art,-0.10265890447305587,0.5777554287881379",
"present,1.1216105081729026,0.012229032810356921",
"happy,-0.035796545332932785,0.5277340606401675",
"girl,0.8222833988777996,0.05174339483028534",
"Google,-0.21720555792066465,0.6644729452007109",
"woman,0.7126452374476253,0.07700226851295955",
"write,0.6635407777775253,0.0916453622492841",
"son,-0.7537231072821128,0.9355219612084389",
"dog,-0.28686745057659707,0.7135939528968365",
"Facebook,0.21104849939431933,0.3347002786067269",
"Apple,0.8377204539496429,0.04509799655838265",
"walk,0.941060801388317,0.03156577879562872",
"eat,0.8131907164886111,0.05342905635035755",
"Microsoft,-0.02522660059340931,0.5234865949797243",
"star,-0.10618814081528687,0.5860947514010266",
"daughter,0.8275075442898342,0.048477719391790464",
"boy,-0.5593279572475754,0.8634820754659813",
"science,-0.2986297901098181,0.7238123195042672",
"speak,0.8708475553067199,0.04205032332850345",
"beach,0.5315085974488314,0.14645274276390663",
"sleep,0.22261864374757379,0.3229902860280379",
"hate,0.2573575457304762,0.3028376865299256",
"wine,1.2406037308556166,0.006237541662143964",
"coffee,-0.6900007784842423,0.9180789779557312",
"tree,0.6815516940322833,0.08351698064655655",
"reality,0.3407207503701803,0.2503024653719579",
"female,0.7066873263809087,0.07828467621552304",
"listen,0.9696239072582741,0.025677167894520236",
"sun,-0.683293466828318,0.9188574178826517",
"brother,-0.30581388398371756,0.7336231237970627",
"dream,1.1039949730231335,0.01431458740283964",
"male,-0.22697392244452413,0.6708079962387427",
"drink,0.8576007855951918,0.0392435580619509",
"sister,0.7129209906775894,0.07383819884721465",
"Amazon,0.013588715072619051,0.49494471532974926",
"cat,0.03350917162426587,0.46755359572624466",
"sad,-0.8185545232552796,0.9480815047260968",
"tea,1.2363354642582074,0.006734545215837384",
"teach,1.4658735746165534,0.0015958185861442153",
"milk,1.4739437467344707,0.0018134824186868403",
"fly,0.3727573120319171,0.22921519915181943",
"chocolate,0.3492854209430969,0.2426090812134516",
"beer,0.2478173994248904,0.30977922262374824",
"river,0.9882631937702199,0.02523731169919663",
"cake,0.6291978419216755,0.1019672863646166",
"jump,0.1894199905236732,0.3485352332118822",
"mountain,-0.041567970172969065,0.530563533707183",
"Samsung,0.36297908342261476,0.23101626433200106",
"king,-1.1472127774495156,0.9887658221359683",
"laugh,0.54948285153937,0.13424606324023525",
"bread,0.5161136241681652,0.15416687770351345",
"sky,-0.45572944085119976,0.8214891116893219",
"butter,0.8312061679761075,0.04701826520411456",
"orange,-0.3454972925095537,0.7551962798405427",
"rice,0.9974397518925854,0.02210840559020577",
"juice,0.5046361963031419,0.15833444961585252",
"enemy,0.14575042613659905,0.3843383560248367",
"Intel,-0.17254719160456408,0.6297476974737483",
"cry,0.620042200978573,0.10730826761090739",
"apple,0.7479484042100023,0.07007943622649682",
"IBM,-0.46089689023231595,0.8222449764453348",
"moon,0.15147271002255439,0.37885834901711346",
"pizza,0.10829254375345883,0.41278250370073044",
"candy,1.0028095464511542,0.021559979052426015",
"imagination,0.46496896345650457,0.17533085377869473",
"cookie,-0.07121980545189863,0.5542140847851641",
"swim,0.9443544169910614,0.028864596163273304",
"queen,1.4441175902747705,0.0019648258635220905",
"pasta,0.7746285257429135,0.06103614431750193",
"soda,0.643986775408096,0.10289602672814724",
"coconut,0.1428892902516371,0.38569801727897857",
"stranger,0.6348767080434062,0.10058165030046506",
"banana,-0.9025939175499308,0.9633771199418046",
"hers,0.8071143675276806,0.053043412939124956",
"burger,-0.2522696070610953,0.6945734058773871",
"strawberry,1.5613155967257488,0.0008579704238935726",
"sushi,0.21463602251195293,0.34137089755399086",
